x1,y1,z1,x2,y2,z2
1589113.94878,6804011.42846,0.0,1589113.61112,6804010.61854,0.0
1589113.61112,6804010.61854,0.0,1589111.37381,6804011.56764,-2.22044604925e-16
1589147.78180,6803996.95129,2.22044604925e-16,1589124.53112,6804006.84854,0.0
1589124.53112,6804006.84854,0.0,1589126.17070,6804010.76781,-1.11022302463e-16
1589145.02044,6803916.47742,0.0,1589141.96112,6803919.24854,0.0
1589141.96112,6803919.24854,0.0,1589136.05112,6803924.59854,0.0
1589136.05112,6803924.59854,0.0,1589130.75112,6803929.38854,0.0
1589130.75112,6803929.38854,0.0,1589134.64112,6803933.65854,0.0
1589134.64112,6803933.65854,0.0,1589139.19112,6803938.66854,0.0
1589139.19112,6803938.66854,0.0,1589146.04043,6803946.20278,2.49800180541e-16
1589141.99052,6803828.17669,-2.22044604925e-16,1589137.74112,6803832.04854,0.0
1589137.74112,6803832.04854,0.0,1589133.06112,6803836.30854,0.0
1589133.06112,6803836.30854,0.0,1589127.97112,6803840.94854,0.0
1589127.97112,6803840.94854,0.0,1589142.99242,6803857.37503,8.881784197e-16
1589071.49131,6804013.72345,-6.93889390391e-18,1589071.39112,6804012.89854,0.0
1589071.39112,6804012.89854,0.0,1589061.38929,6804014.26951,0.0
1589140.02959,6803771.02981,4.4408920985e-16,1589120.77378,6803791.52055,4.4408920985e-16
1589120.77378,6803791.52055,4.4408920985e-16,1589135.46112,6803805.44854,-4.4408920985e-16
1589135.46112,6803805.44854,-4.4408920985e-16,1589141.00975,6803799.59442,4.4408920985e-16
1589120.77378,6803791.52055,4.4408920985e-16,1589120.76112,6803791.50854,-4.4408920985e-16
1589120.76112,6803791.53403,4.4408920985e-16,1589120.77378,6803791.52055,4.4408920985e-16
1589121.11199,6803743.70135,-3.33066907388e-16,1589097.08378,6803769.27055,-4.4408920985e-16
1589097.08378,6803769.27055,-4.4408920985e-16,1589111.77112,6803783.19854,-4.4408920985e-16
1589111.77112,6803783.19854,-4.4408920985e-16,1589139.44526,6803754.00075,-4.4408920985e-16
1589093.60185,6803749.93517,-8.32667268469e-16,1589095.91112,6803752.13854,-4.4408920985e-16
1589095.91112,6803752.13854,-4.4408920985e-16,1589099.32379,6803748.63857,0.0
1588875.97006,6803799.25075,1.38777878078e-16,1588876.27112,6803800.38854,1.11022302463e-16
1588876.27112,6803800.38854,1.11022302463e-16,1588902.39112,6803793.50854,1.11022302463e-16
1588902.39112,6803793.50854,1.11022302463e-16,1588902.32965,6803793.27764,1.11022302463e-16
1589133.57112,6803956.23854,0.0,1589083.59112,6803966.41854,0.0
1589083.59112,6803966.41854,0.0,1589085.02112,6803973.97854,0.0
1589085.02112,6803973.97854,0.0,1589085.03112,6803973.97854,0.0
1589085.03112,6803973.97854,0.0,1589086.29112,6803980.15854,0.0
1589086.29112,6803980.15854,0.0,1589087.90112,6803987.99854,0.0
1589087.90112,6803987.99854,0.0,1589137.97112,6803977.92854,0.0
1589137.97112,6803977.92854,0.0,1589136.48112,6803970.04854,0.0
