point,x,y,z
point_0,1588887.0,6803991.5,0.6
point_1,1588886.5,6803988.0,0.6
point_2,1588886.25,6803985.0,0.6
point_3,1588885.75,6803982.0,0.6
point_4,1588885.5,6803979.5,0.6
point_5,1588885.125,6803976.0,0.6
point_6,1588884.75,6803973.0,0.6
point_7,1588884.25,6803970.0,0.6
point_8,1588883.75,6803967.5,0.6
point_9,1588883.5,6803964.0,0.6
point_10,1588883.125,6803961.0,0.6
point_11,1588882.75,6803958.0,0.6
point_12,1588882.25,6803955.0,0.6
point_13,1588882.0,6803952.0,0.6
point_14,1588881.5,6803949.0,0.6
point_15,1588881.125,6803945.5,0.6
point_16,1588880.75,6803943.0,0.6
point_17,1588880.25,6803939.5,0.6
point_18,1588880.0,6803937.0,0.6
point_19,1588879.5,6803933.5,0.6
point_20,1588879.25,6803931.0,0.6
point_21,1588878.75,6803927.5,0.6
point_22,1588878.5,6803925.0,0.6
point_23,1588878.125,6803921.5,0.6
point_24,1588877.625,6803918.0,0.6
point_25,1588877.25,6803915.5,0.6
point_26,1588876.75,6803912.0,0.6
point_27,1588876.5,6803909.0,0.6
point_28,1588876.125,6803906.0,0.6
point_29,1588875.75,6803903.5,0.6
point_30,1588875.25,6803900.0,0.6
point_31,1588875.0,6803897.0,0.6
point_32,1588874.5,6803894.0,0.6
point_33,1588874.125,6803891.5,0.6
point_34,1588873.75,6803888.0,0.6
point_35,1588873.25,6803885.0,0.6
point_36,1588873.0,6803882.0,0.6
point_37,1588890.0,6803991.0,0.6
point_38,1588889.5,6803988.0,0.6
point_39,1588889.25,6803985.0,0.6
point_40,1588888.75,6803981.5,0.6
point_41,1588888.5,6803979.0,0.6
point_42,1588888.125,6803975.5,0.6
point_43,1588887.625,6803973.0,0.6
point_44,1588887.25,6803969.5,0.6
point_45,1588886.75,6803967.0,0.6
point_46,1588886.5,6803963.5,0.6
point_47,1588886.125,6803961.0,0.6
point_48,1588885.75,6803957.5,0.6
point_49,1588885.25,6803955.0,0.6
point_50,1588885.0,6803951.5,0.6
point_51,1588884.5,6803949.0,0.6
point_52,1588884.125,6803945.0,0.6
point_53,1588883.75,6803942.0,0.6
point_54,1588883.25,6803939.5,0.6
point_55,1588883.0,6803936.0,0.6
point_56,1588882.5,6803933.0,0.6
point_57,1588882.125,6803930.0,0.6
point_58,1588881.75,6803927.5,0.6
point_59,1588881.25,6803924.0,0.6
point_60,1588881.0,6803921.0,0.6
point_61,1588880.5,6803918.0,0.6
point_62,1588880.25,6803915.5,0.6
point_63,1588879.75,6803912.0,0.6
point_64,1588879.5,6803909.0,0.6
point_65,1588879.125,6803906.0,0.6
point_66,1588878.625,6803903.0,0.6
point_67,1588878.25,6803899.5,0.6
point_68,1588877.75,6803897.0,0.6
point_69,1588877.5,6803893.5,0.6
point_70,1588877.125,6803891.0,0.6
point_71,1588876.75,6803887.5,0.6
point_72,1588876.25,6803885.0,0.6
point_73,1588875.75,6803881.5,0.6
point_74,1588893.0,6803991.0,0.6
point_75,1588892.5,6803987.5,0.6
point_76,1588892.25,6803985.0,0.6
point_77,1588891.75,6803981.5,0.6
point_78,1588891.5,6803978.0,0.6
point_79,1588891.125,6803975.5,0.6
point_80,1588890.625,6803972.0,0.6
point_81,1588890.25,6803969.0,0.6
point_82,1588889.75,6803966.0,0.6
point_83,1588889.5,6803963.5,0.6
point_84,1588889.125,6803960.0,0.6
point_85,1588888.625,6803957.0,0.6
point_86,1588888.25,6803954.0,0.6
point_87,1588887.75,6803951.5,0.6
point_88,1588887.5,6803948.0,0.6
point_89,1588887.125,6803945.0,0.6
point_90,1588886.75,6803942.0,0.6
point_91,1588886.25,6803939.0,0.6
point_92,1588886.0,6803936.0,0.6
point_93,1588885.5,6803933.0,0.6
point_94,1588885.125,6803929.5,0.6
point_95,1588884.75,6803927.0,0.6
point_96,1588884.25,6803923.5,0.6
point_97,1588884.0,6803921.0,0.6
point_98,1588883.5,6803917.5,0.6
point_99,1588883.125,6803915.0,0.6
point_100,1588882.75,6803911.5,0.6
point_101,1588882.25,6803909.0,0.6
point_102,1588882.0,6803905.5,0.6
point_103,1588881.5,6803902.0,0.6
point_104,1588881.25,6803899.5,0.6
point_105,1588880.75,6803896.0,0.6
point_106,1588880.25,6803893.0,0.6
point_107,1588880.125,6803890.0,0.6
point_108,1588879.625,6803887.5,0.6
point_109,1588879.25,6803884.0,0.6
point_110,1588878.75,6803881.0,0.6
point_111,1588896.0,6803990.0,0.6
point_112,1588895.5,6803987.5,0.6
point_113,1588895.25,6803984.0,0.6
point_114,1588894.75,6803981.0,0.6
point_115,1588894.5,6803978.0,0.6
point_116,1588894.0,6803975.0,0.6
point_117,1588893.5,6803972.0,0.6
point_118,1588893.25,6803969.0,0.6
point_119,1588892.75,6803965.5,0.6
point_120,1588892.5,6803963.0,0.6
point_121,1588892.125,6803959.5,0.6
point_122,1588891.625,6803957.0,0.6
point_123,1588891.25,6803953.5,0.6
point_124,1588890.75,6803951.0,0.6
point_125,1588890.5,6803947.5,0.6
point_126,1588890.125,6803945.0,0.6
point_127,1588889.625,6803941.5,0.6
point_128,1588889.25,6803939.0,0.6
point_129,1588888.75,6803935.5,0.6
point_130,1588888.5,6803933.0,0.6
point_131,1588888.125,6803929.0,0.6
point_132,1588887.75,6803926.0,0.6
point_133,1588887.25,6803923.5,0.6
point_134,1588886.75,6803920.0,0.6
point_135,1588886.5,6803917.0,0.6
point_136,1588886.125,6803914.0,0.6
point_137,1588885.75,6803911.5,0.6
point_138,1588885.25,6803908.0,0.6
point_139,1588885.0,6803905.0,0.6
point_140,1588884.5,6803902.0,0.6
point_141,1588884.125,6803899.5,0.6
point_142,1588883.75,6803896.0,0.6
point_143,1588883.25,6803893.0,0.6
point_144,1588883.0,6803890.0,0.6
point_145,1588882.5,6803887.0,0.6
point_146,1588882.125,6803883.5,0.6
point_147,1588881.75,6803881.0,0.6
point_148,1588899.0,6803989.5,0.6
point_149,1588898.5,6803987.0,0.6
point_150,1588898.25,6803983.5,0.6
point_151,1588897.75,6803981.0,0.6
point_152,1588897.375,6803977.5,0.6
point_153,1588897.0,6803975.0,0.6
point_154,1588896.5,6803971.5,0.6
point_155,1588896.25,6803969.0,0.6
point_156,1588895.75,6803965.5,0.6
point_157,1588895.5,6803962.0,0.6
point_158,1588895.0,6803959.5,0.6
point_159,1588894.5,6803956.0,0.6
point_160,1588894.25,6803953.0,0.6
point_161,1588893.75,6803950.0,0.6
point_162,1588893.5,6803947.5,0.6
point_163,1588893.125,6803944.0,0.6
point_164,1588892.625,6803941.0,0.6
point_165,1588892.25,6803938.0,0.6
point_166,1588891.75,6803935.5,0.6
point_167,1588891.5,6803932.0,0.6
point_168,1588891.125,6803929.0,0.6
point_169,1588890.625,6803926.0,0.6
point_170,1588890.25,6803923.0,0.6
point_171,1588889.75,6803920.0,0.6
point_172,1588889.5,6803917.0,0.6
point_173,1588889.125,6803913.5,0.6
point_174,1588888.625,6803911.0,0.6
point_175,1588888.25,6803907.5,0.6
point_176,1588887.75,6803905.0,0.6
point_177,1588887.5,6803901.5,0.6
point_178,1588887.125,6803899.0,0.6
point_179,1588886.625,6803895.5,0.6
point_180,1588886.25,6803893.0,0.6
point_181,1588885.75,6803889.5,0.6
point_182,1588885.5,6803887.0,0.6
point_183,1588885.125,6803883.5,0.6
point_184,1588884.625,6803880.0,0.6
point_185,1588902.0,6803989.0,0.6
point_186,1588901.5,6803986.0,0.6
point_187,1588901.25,6803983.5,0.6
point_188,1588900.75,6803980.0,0.6
point_189,1588900.25,6803977.0,0.6
